#;Cliente;Tp.;Parc.;F.Pgto;Vd.;NF;N.Doc;Abertura;Comp.;Venc.;D-;Valor(R$);Total(R$);Saldo(R$);Pgto.
328774;"SUPERMERCADO SUPERMIX (LOJA 02)";DP;1/1;BOLETO;317312;72112;72112;11/09/25;11/09/25;09/10/25;91;4.348,50;4.348,50;4.348,50;--
328773;"SUPERMERCADO SUPERMIX (LOJA 02)";DP;1/1;BOLETO;317313;72111;72111;11/09/25;11/09/25;09/10/25;91;4.117,94;4.117,94;4.117,94;--
332305;"SUPERMERCADO SUPERMIX (LOJA 02)";DP;1/1;BOLETO;320139;74154;74154;26/09/25;26/09/25;10/10/25;90;4.623,77;4.623,77;4.623,77;--
329059;"SUPERMERCADO SUPERMIX (LOJA 02)";DP;1/1;BOLETO;317405;72280;72280;12/09/25;12/09/25;10/10/25;90;7.774,08;7.774,08;7.774,08;--
331699;"SUPERMERCADO ECONOMICO (EWERTON CARUARU)";DP;3/3;BOLETO;319646;11345;11345/3;24/09/25;24/09/25;15/10/25;85;417,60;315,19;315,19;--
333074;"SUPERMERCADO ECONOMICO (EWERTON CARUARU)";DP;2/3;BOLETO;320866;11489;11489/2;01/10/25;01/10/25;15/10/25;85;495,58;495,58;495,58;--
331972;"SUPERMERCADO ECONOMICO (EWERTON CARUARU)";DP;3/3;BOLETO;319761;11377;11377/3;25/09/25;25/09/25;16/10/25;84;337,22;337,22;337,22;--
331969;"SUPERMERCADO ECONOMICO (EWERTON CARUARU)";DP;3/3;BOLETO;319841;11376;11376/3;25/09/25;25/09/25;16/10/25;84;424,89;424,89;424,89;--
331979;"SUPERMERCADO ECONOMICO (EWERTON CARUARU)";DP;3/3;BOLETO;319983;11380;11380/3;25/09/25;25/09/25;16/10/25;84;596,77;596,77;596,77;--
333821;"SUPERMERCADO ECONOMICO (EWERTON CARUARU)";DP;2/3;BOLETO;321403;11545;11545/2;02/10/25;02/10/25;16/10/25;84;875,19;875,19;875,19;--
332304;"SUPERMERCADO SUPERMIX (LOJA 02)";DP;1/1;BOLETO;320103;74153;74153;26/09/25;26/09/25;17/10/25;83;2.085,50;2.085,50;2.085,50;--
335841;"SUPERMERCADO ECONOMICO (EWERTON CARUARU)";DP;1/3;BOLETO;322852;11715;11715/1;10/10/25;10/10/25;17/10/25;83;715,99;715,99;715,99;--
331025;"SUP SACOLA PRETA (SUPERMIX)";DP;1/1;BOLETO;319162;73420;73420;22/09/25;22/09/25;20/10/25;80;1.564,02;233,60;233,60;--
331691;"SUP SACOLA PRETA (SUPERMIX)";DP;1/1;BOLETO;319618;73830;73830;24/09/25;24/09/25;22/10/25;78;3.724,54;3.724,54;3.724,54;--
331702;"SUPERMERCADO SUPERMIX (LOJA 02)";DP;1/1;BOLETO;319711;73836;73836;24/09/25;24/09/25;22/10/25;78;2.153,80;2.153,80;2.153,80;--
331701;"SUPERMERCADO SUPERMIX (LOJA 02)";DP;1/1;BOLETO;319719;73835;73835;24/09/25;24/09/25;22/10/25;78;4.741,38;4.741,38;4.741,38;--
333065;"SUP SACOLA PRETA (SUPERMIX)";DP;1/1;BOLETO;320736;74612;74612;01/10/25;01/10/25;22/10/25;78;2.547,60;2.547,60;2.547,60;--
331966;"SUP SACOLA PRETA (SUPERMIX)";DP;1/1;BOLETO;319975;73989;73989;25/09/25;25/09/25;23/10/25;77;656,25;656,25;656,25;--
333837;"SUPERMERCADO SUPERMIX (LOJA 02)";DP;1/1;BOLETO;321421;74999;74999;02/10/25;02/10/25;23/10/25;77;4.258,50;4.258,50;4.258,50;--
332632;"SUP SACOLA PRETA (SUPERMIX)";DP;1/1;BOLETO;320607;74333;74333;29/09/25;29/09/25;27/10/25;73;233,83;233,83;233,83;--
334572;"SUPERMERCADO SUPERMIX (LOJA 02)";DP;1/1;BOLETO;322060;75415;75415;06/10/25;06/10/25;27/10/25;73;6.494,00;6.494,00;6.494,00;--
334573;"SUPERMERCADO SUPERMIX (LOJA 02)";DP;1/1;BOLETO;322062;75416;75416;06/10/25;06/10/25;27/10/25;73;3.148,13;3.148,13;3.148,13;--
335017;"SUP SACOLA PRETA (SUPERMIX)";DP;1/1;BOLETO;322332;11655;11655;07/10/25;07/10/25;28/10/25;72;3.745,50;3.745,50;3.745,50;--
335016;"SUP SACOLA PRETA (SUPERMIX)";DP;1/1;BOLETO;322336;11654;11654;07/10/25;07/10/25;28/10/25;72;2.703,99;2.703,99;2.703,99;--
333067;"SUP SACOLA PRETA (SUPERMIX)";DP;1/1;BOLETO;320854;74614;74614;01/10/25;01/10/25;29/10/25;71;3.648,18;3.648,18;3.648,18;--
333532;"SUPERMERCADO SUPERMIX (LOJA 01 CPF)";DP;1/1;BOLETO;321071;11518;11518;01/10/25;01/10/25;29/10/25;71;5.304,17;5.304,17;5.304,17;--
333533;"SUPERMERCADO SUPERMIX (LOJA 01 CPF)";DP;1/1;BOLETO;321072;11519;11519;01/10/25;01/10/25;29/10/25;71;5.722,37;5.722,37;5.722,37;--
333534;"SUPERMERCADO SUPERMIX (LOJA 01 CPF)";DP;1/1;BOLETO;321073;11520;11520;01/10/25;01/10/25;29/10/25;71;2.706,26;2.706,26;2.706,26;--
333531;"SUPERMERCADO SUPERMIX (LOJA 01 CPF)";DP;1/1;BOLETO;321158;11517;11517;01/10/25;01/10/25;29/10/25;71;3.274,98;3.274,98;3.274,98;--
333530;"SUPERMERCADO SUPERMIX (LOJA 01 CPF)";DP;1/1;BOLETO;321161;11516;11516;01/10/25;01/10/25;29/10/25;71;2.286,27;2.286,27;2.286,27;--
333539;"SUPERMERCADO SUPERMIX (LOJA 02)";DP;1/1;BOLETO;321060;74839;74839;01/10/25;01/10/25;29/10/25;71;7.393,85;7.393,85;7.393,85;--
333540;"SUPERMERCADO SUPERMIX (LOJA 02)";DP;1/1;BOLETO;321064;74840;74840;01/10/25;01/10/25;29/10/25;71;7.800,54;7.800,54;7.800,54;--
333538;"SUPERMERCADO SUPERMIX (LOJA 02)";DP;1/1;BOLETO;321174;74838;74838;01/10/25;01/10/25;29/10/25;71;4.194,06;4.194,06;4.194,06;--
333586;"SUPERMERCADO SUPERMIX (LOJA 01 CPF)";DP;1/1;BOLETO;321068;11530;11530;02/10/25;02/10/25;30/10/25;70;4.454,42;4.454,42;4.454,42;--
335849;"SUPERMERCADO ECONOMICO (EWERTON CARUARU)";DP;3/3;BOLETO;322812;11717;11717/3;10/10/25;10/10/25;31/10/25;69;926,64;926,64;926,64;--
335939;"SUPERMERCADO ECONOMICO (EWERTON CARUARU)";DP;3/3;BOLETO;323051;11726;11726/3;10/10/25;10/10/25;31/10/25;69;682,86;682,86;682,86;--
347281;"FRIGORIFICO MISTER CARNES DE CACHOEIRINHA";DP;2/2;BOLETO;332086;36915;36915/2;27/11/25;27/11/25;18/12/25;21;195,96;195,96;195,96;--
351736;"NEGAO DA CARNE DE SOL";DP;1/3;TRANSFERÊNCIA;335619;--;335619/1;16/12/25;16/12/25;30/12/25;9;11.164,10;11.164,10;11.164,10;--
352591;"PICANHA 19 CHURRASCARIA LTDA";DP;1/1;BOLETO;336397;80362;80362;17/12/25;17/12/25;31/12/25;8;2.720,37;2.720,37;2.720,37;--
352592;"PICANHA 19 CHURRASCARIA LTDA";DP;1/1;BOLETO;336399;80363;80363;17/12/25;17/12/25;31/12/25;8;2.562,70;2.562,70;2.562,70;--
353028;"NEGAO DA CARNE DE SOL";DP;1/3;TRANSFERÊNCIA;335848;--;335848/1;18/12/25;18/12/25;01/01/26;7;11.947,37;11.947,37;11.947,37;--
353020;"PICANHA 19 CHURRASCARIA LTDA";DP;1/1;BOLETO;336524;80603;80603;18/12/25;18/12/25;01/01/26;7;2.291,86;2.291,86;2.291,86;--
353019;"PICANHA 19 CHURRASCARIA LTDA";DP;1/1;BOLETO;336527;80602;80602;18/12/25;18/12/25;01/01/26;7;2.319,24;2.319,24;2.319,24;--
353018;"PICANHA 19 CHURRASCARIA LTDA";DP;1/1;BOLETO;336528;80601;80601;18/12/25;18/12/25;01/01/26;7;2.830,82;2.830,82;2.830,82;--
353592;"KLEBER WILLANS TORRES";DP;1/1;BOLETO;336980;80940;80940;21/12/25;21/12/25;04/01/26;4;617,40;617,40;617,40;--
353609;"CHURRASCARIA E LANCHONETE ALTAS HORAS";DP;1/2;BOLETO;337032;80952;80952/1;21/12/25;21/12/25;04/01/26;4;1.045,39;1.045,39;1.045,39;--
351737;"NEGAO DA CARNE DE SOL";DP;2/3;TRANSFERÊNCIA;335619;--;335619/2;16/12/25;16/12/25;06/01/26;2;11.164,10;11.164,10;11.164,10;--
353796;"GABBEL SUPERMERCADO";DP;1/1;BOLETO;337105;81061;81061;23/12/25;23/12/25;06/01/26;2;4.651,15;4.651,15;4.651,15;--
353790;"PICANHA 19 CHURRASCARIA LTDA";DP;1/1;BOLETO;336532;81057;81057;23/12/25;23/12/25;06/01/26;2;2.492,53;2.492,53;2.492,53;--
353789;"PICANHA 19 CHURRASCARIA LTDA";DP;1/1;BOLETO;336536;81056;81056;23/12/25;23/12/25;06/01/26;2;2.094,70;2.094,70;2.094,70;--
353805;"CHURRASCARIA E LANCHONETE ALTAS HORAS";DP;1/2;BOLETO;337168;81069;81069/1;23/12/25;23/12/25;06/01/26;2;337,13;337,13;337,13;--
353807;"CHURRASCARIA E LANCHONETE ALTAS HORAS";DP;1/2;BOLETO;337383;81070;81070/1;23/12/25;23/12/25;06/01/26;2;1.101,70;1.101,70;1.101,70;--
352330;"CHURRASCARIA E LANCHONETE ALTAS HORAS";DP;2/2;BOLETO;335978;80211;80211/2;17/12/25;17/12/25;07/01/26;1;1.077,77;1.077,77;1.077,77;--
352605;"CHURRASCARIA E LANCHONETE ALTAS HORAS";DP;2/2;BOLETO;336170;80373;80373/2;17/12/25;17/12/25;07/01/26;1;370,86;370,86;370,86;--
;TOTAL;;;;;;;;;;;205.262,63;199.592,84;199.592,84;
